"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1941018228513558870","Fri Jul 04 06:16:22 +0000 2025","1","Kemaren pas Iran vs Israel konflik kekuatan militer kita diejek2 gimana mau bertahan dan melindungi warga negara. Sekarang giliran TNI mau meningkatkan alutsista malah dikatain perang-perangan lawan siapa. Hadehhh.","1941018228513558870","","","in","","0","0","0","https://x.com/undefined/status/1941018228513558870","750342818",
"1941018153511014633","Fri Jul 04 06:16:04 +0000 2025","0","Selebgram Ditahan Di Myanmar. Wakil Ketua DPR RI Sufmi Dasco Ahmad Dorong opsi militer selain perang bila diplomasi gagal. Bikin Susah saja nih selebgram. Misi Budaya #HukumBeratHasto #UltimateHealthPartner https://t.co/NNlTo60dUo","1941018153511014633","https://pbs.twimg.com/ext_tw_video_thumb/1941017993963577344/pu/img/EZEFWWuv9aRa5wSF.jpg","","in","","0","0","0","https://x.com/undefined/status/1941018153511014633","1447500779468718082",
"1941017973680230826","Fri Jul 04 06:15:21 +0000 2025","0","Isriwil + mamarika = penjahat perang","1941017973680230826","","","in","","0","0","0","https://x.com/undefined/status/1941017973680230826","1683918939167035393",
"1941017276914041104","Fri Jul 04 06:12:35 +0000 2025","0","Arsip perang kemerdekaan (1947) colorized.","1941017276914041104","","","in","","0","0","0","https://x.com/undefined/status/1941017276914041104","1564118498380763137",
"1941007816883687684","Fri Jul 04 06:12:21 +0000 2025","0","@detikcom Sadis penjahat perang mentargetkan warga sipil....israhell pengecut","1941017217338073256","","detikcom","in","","0","0","0","https://x.com/undefined/status/1941017217338073256","1874750547624161280",
"1941017021271232959","Fri Jul 04 06:11:34 +0000 2025","0","Dan yap lapak gw lah yang menjadi medan perang irengmengg san itek","1941017021271232959","","","in","","0","0","0","https://x.com/undefined/status/1941017021271232959","1899737022799216640",
"1941016932607791453","Fri Jul 04 06:11:13 +0000 2025","49"," Tentara melawan tentara adalah PERANG Tentara melawan penduduk sipil adalah GENOSIDA... https://t.co/XBl3j9Agns","1941016932607791453","https://pbs.twimg.com/ext_tw_video_thumb/1941016887506198528/pu/img/dUp9yCx3U82iO9_T.jpg","","in","","0","0","29","https://x.com/undefined/status/1941016932607791453","1729354223614304256",
"1941002427462987885","Fri Jul 04 06:06:06 +0000 2025","1","@mkini_bm Wah.. murah rezeki panglima perang PKR","1941015643308122464","","mkini_bm","in","","0","0","0","https://x.com/undefined/status/1941015643308122464","1044644877470916608",
"1941015591084871868","Fri Jul 04 06:05:53 +0000 2025","0","Trump frustrasi setelah percakapan dengan Putin mengenai perang Ukraina. Putin tegas tak akan mundur menegaskan tujuan Rusia dan proses negosiasi. #AmbisiusNews #UkrainaRusia #Putin #Trump https://t.co/eIQic0VkMd","1941015591084871868","","","in","","0","0","0","https://x.com/undefined/status/1941015591084871868","1930474194296610816",
"1941015435903930754","Fri Jul 04 06:05:16 +0000 2025","2","Ibu-ibu mendakap anak berlari ke tempat perlindungan sementara 40 dron mengancam dari langit inilah realiti di Kyiv hari ini. Bila ketakutan jadi rutin ini bukan sekadar perang tapi serangan terhadap kemanusiaan. Dunia tak boleh terus diam. https://t.co/ccfj0wY5Br","1941015435903930754","https://pbs.twimg.com/amplify_video_thumb/1940832694000099328/img/VuQCfLGerIJiwSJL.jpg","","in","","0","0","0","https://x.com/undefined/status/1941015435903930754","1874792862480793600",
"1940699233633591390","Fri Jul 04 06:03:32 +0000 2025","0","@PartaiSocmed Sebenernya wajar ada biaya admin karena memang ada cost pembuatan sistem. Yang salah itu adalah kenapa telat ? Ketika perang harga sudah terjadi.","1941014996596805949","","PartaiSocmed","in","","0","0","0","https://x.com/undefined/status/1941014996596805949","2574537384",
"1940921811379933201","Fri Jul 04 05:58:52 +0000 2025","0","@masvdcss Lah bocil nya itu perang ama kaka ","1941013823793807366","","masvdcss","in","","0","0","0","https://x.com/undefined/status/1941013823793807366","294528028",
"1940959961376608601","Fri Jul 04 05:58:46 +0000 2025","0","@Usrkhai @Marchfoward Alaaa bekas askar dkt X ni pon acah² jgak dok tanya 'kita nak perang dgn siapa?'... Tak hbis² sarcasm bodoh.. mcm dia hebat sgt","1941013796568592582","","Usrkhai","in","","0","0","0","https://x.com/undefined/status/1941013796568592582","1456585474684776450",
"1941012906700951808","Fri Jul 04 05:58:35 +0000 2025","0","@serasic Perang cinta","1941013750682931613","","serasic","in","","0","0","0","https://x.com/undefined/status/1941013750682931613","1747252349310251009",
"1940400063249023106","Fri Jul 04 05:58:10 +0000 2025","0","@mmarleyt @democrazymedia Hanya jadi beban negara mending pernah perang ?","1941013647981269330","","mmarleyt","in","","0","0","0","https://x.com/undefined/status/1941013647981269330","1469053386121048064",
"1941002545520075168","Fri Jul 04 05:56:54 +0000 2025","0","@alfarosiyoga @SNayla_JKT48 @Nala_JKT48 @CErine_JKT48 @Aralie_JKT48 @M_OlineJKT48 @JTrisha_JKT48 video jaman perang ya mas","1941013327351795983","","alfarosiyoga","in","","0","0","0","https://x.com/undefined/status/1941013327351795983","1747291570485993472",
